,Word,Frequency
0,said,87371
1,one,75912
2,would,66557
3,mr,59285
4,could,48187
5,time,43791
6,man,43555
7,upon,41145
8,little,35348
9,like,34380
10,much,34163
11,well,33490
12,day,33478
13,may,33423
14,say,32144
15,see,32106
16,good,31672
17,know,31476
18,lord,31428
19,must,30202
20,hand,30150
21,never,29268
22,lady,29266
23,made,28510
24,sir,27756
25,might,27617
26,old,27494
27,first,27216
28,great,26343
29,yet,26135
30,life,25713
31,u,25175
32,two,25148
33,come,24874
34,shall,24619
35,though,24578
36,eye,24188
37,thought,23988
38,house,23921
39,think,23344
40,make,23330
41,without,23283
42,even,22898
43,friend,22171
44,father,21913
45,word,21862
46,young,21302
47,still,21227
48,go,20779
49,way,20646
50,long,20490
51,last,20258
52,thing,19985
53,place,19145
54,every,19119
55,men,18867
56,take,18600
57,heart,18117
58,mind,17903
59,many,17756
60,year,17708
61,ever,17502
62,love,17326
63,came,17185
64,woman,17173
65,letter,17113
66,let,17078
67,king,16914
68,look,16880
69,left,16762
70,give,16564
71,nothing,16520
72,back,16154
73,child,16154
74,tell,16132
75,part,15990
76,found,15963
77,head,15945
78,night,15811
79,moment,15248
80,room,15239
81,name,15037
82,thou,14897
83,seemed,14714
84,face,14519
85,heard,14400
86,new,14369
87,away,14348
88,another,14338
89,de,14315
90,saw,14289
91,miss,14196
92,better,14110
93,till,14058
94,person,13778
95,went,13438
96,mother,13345
97,poor,13327
98,whose,13264
99,mean,13207
100,right,12883
101,world,12761
102,put,12701
103,people,12666
104,took,12661
105,hope,12628
106,dear,12606
107,le,12586
108,door,12347
109,far,12052
110,seen,12015
111,looked,12000
112,find,11976
113,side,11965
114,however,11937
115,hour,11891
116,power,11862
117,voice,11755
118,soon,11736
119,enough,11543
120,done,11453
121,work,11363
122,manner,11357
123,three,11334
124,son,11231
125,half,11218
126,indeed,11199
127,called,11179
128,thy,11125
129,since,11037
130,answered,11035
131,cannot,10989
132,whole,10976
133,present,10973
134,always,10904
135,thus,10878
136,perhaps,10856
137,country,10836
138,general,10791
139,rather,10773
140,arm,10727
141,master,10723
142,character,10685
143,death,10434
144,gentleman,10373
145,told,10327
146,best,10271
147,something,10269
148,brother,10245
149,get,10209
150,duke,10138
151,morning,10121
152,felt,9979
153,matter,9971
154,light,9862
155,family,9815
156,gave,9809
157,home,9715
158,wish,9648
159,boy,9601
160,among,9528
161,next,9448
162,knew,9440
163,leave,9260
164,girl,9236
165,nature,9222
166,set,9213
167,hear,9170
168,?,9157
169,least,9121
170,speak,9107
171,asked,9102
172,feeling,9062
173,want,9061
174,spirit,9031
175,book,8990
176,believe,8977
