,17c,19c,20c,21c
0,encrease,control,contract,checking
1,ruine,vigilance,sum_money,checks
2,assay,exertion,instructions,checked
3,enforce,resistance,payment,Checking
4,wildness,responsibility,letter_credit,recheck
5,tie,restraint,assistance,doublecheck
6,confound,pressure,examination,Check
7,compell,strengthen,cheque,VGGEN_often
8,sustain,prompt,syndicate_letter,Charge_Issuing_worthless
9,lessen,persevere,plea,ABCActionNews.com
10,keep_alive,compliance,herries,www.usajaguars.com
11,extend,submission,advance,Checks
12,decline,support,handsome_sum,www.usps.com_passport
13,diminish,exertions,dictation,log_onto
14,perpetuity,repel,deliberately,Checked
15,wishing,preventing,pretext,Auto_ConX_section
16,sway,secrecy,refusal,Periodically_Nance
17,firm,constraint,proper_shape,verify
18,nourish,measure,receipt,Halderman_deposited
19,honors,discharge,pen,heraldnet.com_seahawksblog
20,stain,precipitate,agreement,GazetteXtra.com
21,rash,counteract,promptly,RJ_Mattes_reads
22,void,resource,xa0k,_Check
23,confine,gratification,cash,paystub
24,ignoble,pretext,signal,BLOOD_PRESSURE_Free
25,grateful,exert,pledge,heraldtribune.com
26,inflict,adversary,information,Withholding_Calculator
27,seeking,measures,purse,geek.net
28,toil,deterred,herewith,log
29,losse,violence,oath,Gigwise_Gig_Guide
30,threats,emergency,accordingly,rechecks
31,ten_times,effectual,counsel,jconline.com
32,indignation,provocation,request,Gigwise_Gig_Tickets
33,cherish,effectually,peseta,ssa.gov
34,counsels,reserve,mintage,Adesso_USB_roll
35,restrain,motions,invitation,LaserMotive_LLC
36,reap,relieve,precaution,inspect
37,grievous,steadiness,collect,Tim_Cuprisin_column
38,expose,efforts,household_expenses,Annualcreditreport.com
39,awe,deliberate,price,http://www.bbb.org
40,fruitless,desperation,loan,possible_micrometeroid_damage
41,tortures,stratagem,charge,scan
42,odds,scrutiny,permission,Gigwise_Festival
43,achieve,yielding,discharge,experimental_PET_scans
44,forfeits,obedience,mediumsized,www.gardencitypl.org
45,amend,visible_sign,fees,bsudailynews.com
46,tyranny,impulse,half_dollar,bbb.org
47,naught,scruples,charges,www.AnnualCreditReport.com
48,dissolve,threats,bills,verifications
49,strongest,resist,proofs,reciept
