,17c,19c,20c,21c
0,"('wanton', '0.93')","('gayest', '0.81')","('cheerful', '0.80')","('homosexual', '0.81')"
1,"('amorous', '0.90')","('jovial', '0.78')","('mild', '0.74')","('lesbian', '0.81')"
2,"('chaste', '0.89')","('dancing', '0.78')","('gentle', '0.74')","('gays', '0.79')"
3,"('lovely', '0.89')","('merry', '0.77')","('obtrusively', '0.74')","('LGBT', '0.77')"
4,"('adorn', '0.88')","('joyous', '0.77')","('sad', '0.74')","('homosexuals', '0.76')"
5,"('wild', '0.88')","('sprightly', '0.76')","('pleasant', '0.74')","('lesbians', '0.75')"
6,"('sweets', '0.87')","('cheerful', '0.76')","('dull', '0.74')","('transgender', '0.74')"
7,"('grown', '0.87')","('lively', '0.76')","('charming', '0.73')","('GLBT', '0.73')"
8,"('ugly', '0.86')","('blooming', '0.75')","('merry', '0.73')","('gay_lesbian', '0.73')"
9,"('fairest', '0.86')","('gayer', '0.75')","('lovely', '0.72')","('openly_gay', '0.73')"
10,"('dull', '0.86')","('rosy', '0.74')","('shy', '0.72')","('transgendered', '0.71')"
11,"('delicate', '0.85')","('sunny', '0.73')","('unusually', '0.72')","('queer', '0.70')"
12,"('beauties', '0.85')","('lovely', '0.72')","('attractive', '0.72')","('antigay', '0.68')"
13,"('smell', '0.85')","('genial', '0.72')","('bright', '0.71')","('heterosexual', '0.68')"
14,"('goodly', '0.85')","('rustic', '0.71')","('women_', '0.71')","('Gay', '0.67')"
15,"('youthful', '0.84')","('pensive', '0.71')","('countryfolk', '0.71')","('homosexuality', '0.66')"
16,"('fat', '0.84')","('luxurious', '0.71')","('jovial', '0.71')","('homophobic', '0.66')"
17,"('manly', '0.84')","('dance', '0.71')","('lively', '0.70')","('sexual_orientation', '0.65')"
18,"('gaudy', '0.84')","('blithe', '0.70')","('solemn', '0.70')","('openly_homosexual', '0.64')"
19,"('charming', '0.84')","('pleasant', '0.70')","('danced', '0.70')","('Gays', '0.64')"
