,17c,19c,20c,21c
0,inconstant,pretty,jolly,good
1,fickle,fine,smart,lovely
2,deluded,smart,funny,neat
3,temperate,stuff,pretty,fantastic
4,lavish,likes,nasty,wonderful
5,pettish,funny,first_rate,terrific
6,frailty,queer,decent,great
7,meer,genteel,clever,awesome
8,feign,kettle_fish,much_better,nicer
9,painful,plenty,plenty,decent
10,froward,clean,bad,fabulous
11,admir,neat,queer,really
12,prone,comfortable,lazy,amazing
13,observ,ugly,awfully,pleasant
14,outdo,tidy,anyway,heck
15,possest,odd,lovely,classy
16,affects,prettiest,prettiest,happy
17,stupid,spoilt,bigger,liked
18,passionate,clever,silly,fun
19,bashfulness,cooking,maybe,marvelous
20,great_ones,nicely,fun,definitely
21,sincere,obligated,lucky,beautiful
22,childish,spoiled,rotten,Necth_described
23,tainted,much_better,attractive,weird
24,forgetful,dainty,bum,safe_Deche
25,breeding,dairy,horrid,perfect
26,fondness,artifice_,nicest,kinda_weird
27,howsoever,nice_little,crazy,Choreographed_chaos
28,could_wish,dare_say,cheap,alright
29,meerly,liked,lots,Wow
30,hurtful,first_rate,suit,kinda
31,constancy,jolly,anyhow,wondeful
32,inconstancy,decent,drinking,pretty_daggone
33,peevish,buying,fine,goood
34,couragious,eating,comfortable,unbelievable
35,effeminate,smell,regular,pretty
36,harmful,muttonchop,_mountain_,nicely
37,harmless,charming,darn,VENUS_WILLIAMS_Yeah
38,renders,tea,likes,yeah
39,delude,helping,good_natured,mad_certifiably
40,relish,steeplechase,charming,glad
41,moderate,wash_clothes,lena,nifty
42,temperance,fun,hes,maybe
43,odious,pleasant,wonderfully,guys
44,stubbornness,doll,stylish,AJ'sa
45,insensible,dowdy,expensive,much_amazed_Trindle
46,craft,gets,dandy,gorgeous
47,fruitless,cheap,borga,interesting
48,wandrings,dirty,kid,okay
49,serves,sugar,roughnecks,nicest
