,17c,19c,20c,21c
0,handsome,nice,smart,pretty_darn
1,fine,prettiest,wonderfully,very
2,pleasant,charming,nice,awfully
3,merry,ugly,jolly,quite
4,finely,doll,handsome,fairly
5,dress,fine,remarkably,pretty_darned
6,handsom,handsome,dresses,unbelievably
7,musique,beautiful,attractive,really
8,silly,smart,funny,incredibly
9,mightily_pleased,genteel,wearing,Pretty
10,gallant,funny,clever,pretty_dang
11,well_dressed,prettier,dressed,kinda
12,never_saw,queer,suit,pretty_doggone
13,dressed,dowdy,lazy,so
14,girl,little_girl,good_natured,extremely
15,mighty_pretty,neat,stylish,amazingly
16,excellent,dainty,ugly,Pretty_darn
17,pretty_woman,spoiled,worn,too
18,neat,prettily,captivatingly,exceedingly
19,gentlewoman,odd,awfully,prety
20,fashion,kettle_fish,beautifully,ridiculously
21,lusty,clever,fine,terribly
22,singing,arborvitae,lovely,terrifically
23,platan,taller,charming,extraordinarily
24,browner,nice_looking,dress,awfully_awfully
25,jigambob,ever_saw,queer,yeah
26,witty,fond,neat,darn
27,companion,daisy,old_fashioned,remarkably
28,drolling,girls,well_dressed,obviously
29,neat_fine,opydilldock,looks,fantastically
30,_viterboan,old_fashioned,giggler,phenomenally
31,sorrowfull,well_dressed,clean,pretty_daggone
32,_silvio?,mamma,costume,sooo
33,ill_favoured,shy,nasty,soooo
34,prettily,toy,clothes,insanely
35,drunken,spoilt,young_fellow,just
36,penne,elegant,shabby,Very
37,fat,droll,lively,exceptionally
38,dancing,box_shells,_quintain_,quite_frankly
39,mrs_pierce,playing,fleshed,darned
40,_anthropophagus_,girl,explainer,downright
41,plain,lovely,besmearing,VERY
42,mighty_fine,liked,czecks,it'sa
43,_gillow_,comfortable,flammarion,Really
44,acquaintance,modest,unusually,Wow
45,tall,miss,prettiest,reasonably
46,piece_flesh,stuff,wear,stuff
47,couple,brown,coatpans,Pretty_darned
48,prettiest,plump,stout,extrememly
49,fellow,remarkably,janitresses,TIM_HENMAN_Yeah
