,17c,19c,20c,21c
0,touches,terrible,mad,horrible
1,adoration,fearful,horrible,terrible
2,deity,frightful,horrid,dreadful
3,despairing,horrible,dreadful,horrendous
4,inspir,dreadful,sore,horrid
5,softness,ominous,nasty,atrocious
6,indignation,appalling,beastly,ugly
7,yielding,prophetic,something_wrong,lousy
8,ravishing,waking,funny,god_awful
9,spotless,horror,hate,abysmal
10,assay,dread,lonesome,unbelievable
11,moves,terrific,scared,appalling
12,strove,stillness,foolish,crummy
13,awe,foreboding,upset,hideous
14,bitterness,phantom,terrible,awful_Kraujalis
15,terrour,unearthly,makes_feel,aweful
16,confound,dismal,spuddin,bad
17,vented,mysterious,crackbrained,miserable
18,pollution,eternal,ashamed,crappy
19,unchaste,trance,feels,Awful_awful
20,grievous,eternity,crazy,wretched
21,languishment,haunting,hates,pitiful
22,tormenters,ghastly,silly,awesome
23,jealousie,mournful,thankful,stupid
24,impious,presentiment,muttered_aloud,unreal
25,hateful,preternatural,dreadfully,ridiculous
26,iniquity,impending,bad,disgusting
27,horrour,unutterable,rotten,pathetic
28,severest,stricken,kinder,amazing
29,avarice,intolerable,hell,precedent_Kasdan
30,yields,vision,cruel,Awful
31,lays,deepest,_brushing,unbelieveable
32,seeks,unseen,_was_,weird
33,insulting,solemn,afraid,shitty
34,serene,unheard,thunder_cloud,embarrasing
35,trophies,madness,awfully,stinks
36,flattering,rapt,fun,ghastly
37,conspire,horrors,wonder,unmitigated_disaster
38,exalted,chill,brute,incredible
39,frail,horrid,mamma,horrific
40,excess,desolation,sorry,disruption_Silke
41,stubborn,darkness,miserable,mediocre
42,polluted,unconscious,_is_,abomination
43,regardless,forebodings,declare,unpleasant
44,infus,demon,ridiculous,embarrassing
45,tempting,fatal,hurts,woeful
46,servile,unquiet,sick,Horrible_horrible
47,compassion,mortal,hurt,scary
48,terror,despairing,tremendously,unfortunate
49,greedy,keen_anguish,running_away,embarassing
