,17c,19c,20c,21c
0,"('touches', '0.94')","('terrible', '0.87')","('mad', '0.78')","('horrible', '0.76')"
1,"('deity', '0.94')","('fearful', '0.86')","('horrid', '0.78')","('terrible', '0.75')"
2,"('inspir', '0.93')","('frightful', '0.84')","('horrible', '0.77')","('dreadful', '0.72')"
3,"('purer', '0.93')","('horrible', '0.83')","('nasty', '0.76')","('horrendous', '0.70')"
4,"('immortal', '0.93')","('dreadful', '0.80')","('funny', '0.75')","('horrid', '0.67')"
5,"('vented', '0.93')","('ominous', '0.78')","('upset', '0.75')","('atrocious', '0.66')"
6,"('adoration', '0.93')","('waking', '0.77')","('scared', '0.75')","('ugly', '0.62')"
7,"('infus', '0.93')","('appalling', '0.77')","('dreadful', '0.74')","('lousy', '0.61')"
8,"('regardless', '0.92')","('prophetic', '0.76')","('sore', '0.74')","('god_awful', '0.61')"
9,"('terror', '0.92')","('dread', '0.76')","('something_wrong', '0.74')","('abysmal', '0.61')"
10,"('moves', '0.92')","('terrific', '0.75')","('beastly', '0.73')","('unbelievable', '0.61')"
11,"('ravishing', '0.92')","('dismal', '0.75')","('foolish', '0.73')","('appalling', '0.61')"
12,"('meek', '0.92')","('stillness', '0.75')","('feels', '0.73')","('crummy', '0.58')"
13,"('fixt', '0.92')","('eternal', '0.75')","('melee', '0.72')","('hideous', '0.58')"
14,"('fading', '0.92')","('horror', '0.74')","('declare', '0.72')","('awful_Kraujalis', '0.57')"
15,"('dwells', '0.92')","('phantom', '0.74')","('bad', '0.72')","('aweful', '0.56')"
16,"('balm', '0.92')","('trance', '0.74')","('lonesome', '0.71')","('bad', '0.55')"
17,"('powerfull', '0.92')","('unearthly', '0.73')","('silly', '0.71')","('miserable', '0.55')"
18,"('frail', '0.92')","('solemn', '0.73')","('crazy', '0.70')","('crappy', '0.55')"
19,"('sensual', '0.92')","('mysterious', '0.73')","('anyway', '0.70')","('Awful_awful', '0.55')"
