,17c,19c,20c,21c
0,wanton,jovial,cheerful,homosexual
1,amorous,merry,pleasant,lesbian
2,lovely,lively,gentle,gays
3,fat,gayest,mild,LGBT
4,chaste,dancing,jovial,homosexuals
5,wild,cheerful,dull,lesbians
6,ugly,gayer,sad,transgender
7,goodly,rosy,charming,GLBT
8,dull,blooming,unusually,gay_lesbian
9,beauties,joyous,bright,openly_gay
10,grown,sunny,merry,transgendered
11,youthful,genial,lively,queer
12,adorn,rustic,shy,antigay
13,gaudy,lovely,lovely,heterosexual
14,sweetest,luxurious,wistful,Gay
15,delicate,dance,regular_gay,homosexuality
16,low,sprightly,dreamy,homophobic
17,beauteous,revel,colourless,sexual_orientation
18,soft,maidens,delightfully,openly_homosexual
19,fairest,pensive,sweet,Gays
20,fancies,stately,animated,bisexual
21,sweets,charmed,gloomy,homophobia
22,smell,pleasant,restless,gays_lesbians
23,manly,blithe,leamington,Gays_lesbians
24,smooth,smiles,nindomitableness,gay_marriage
25,lean,glee,unbeneficed,transsexual
26,shadow,comely,harsh,LGBTQ
27,empty,buoyant,obtrusively,queers
28,grows,verdure,noisy,GLBTQ
29,sounds,gambols,unhomelike,trans_gendered
30,big,shy,danced,homos
31,charming,brightened,admiring,closeted_gay
32,lusty,gaudy,strangely,transgendered_GLBT
33,fed,noisy,sleepy,GLBTs
34,hair,studious,cotillon,gay_bashing
35,wondrous,green,familiar,bi_sexuals
36,fledged,light_hearted,preternaturally,LGBTs
37,finest,favorite,costume,Homosexual
38,sings,danced,girlish,LBGT
39,flower,delicious,attractive,heterosexuals
40,monstrous,sickly,sober,hetro
41,smiling,playful,joyous,gay_bisexual_transgendered
42,sweetness,rauran,girlishly,transgender_transsexual
43,gaze,luxuriant,solemn,Lesbian
44,young_gay,enchanting,quiet,gay_bisexual
45,dreams,engadine,placid,bisexual_transgender
46,careless,graceful,wildings,gay_lesbian_bisexual
47,black,convivial,pollarded,gay_couples
48,cheeks,song_birds,quaint,homo
49,giddy,gaily_dressed,rustic,homophobes
