,17c,19c,20c,21c
0,"('wanton', '0.93')","('gayest', '0.81')","('cheerful', '0.80')","('homosexual', '0.81')"
1,"('amorous', '0.90')","('jovial', '0.78')","('mild', '0.74')","('lesbian', '0.81')"
2,"('chaste', '0.89')","('dancing', '0.78')","('gentle', '0.74')","('gays', '0.79')"
3,"('lovely', '0.89')","('merry', '0.77')","('obtrusively', '0.74')","('LGBT', '0.77')"
4,"('adorn', '0.88')","('joyous', '0.77')","('sad', '0.74')","('homosexuals', '0.76')"
5,"('wild', '0.88')","('sprightly', '0.76')","('pleasant', '0.74')","('lesbians', '0.75')"
6,"('sweets', '0.87')","('cheerful', '0.76')","('dull', '0.74')","('transgender', '0.74')"
7,"('grown', '0.87')","('lively', '0.76')","('charming', '0.73')","('GLBT', '0.73')"
8,"('ugly', '0.86')","('blooming', '0.75')","('merry', '0.73')","('gay_lesbian', '0.73')"
9,"('fairest', '0.86')","('gayer', '0.75')","('lovely', '0.72')","('openly_gay', '0.73')"
10,"('dull', '0.86')","('rosy', '0.74')","('shy', '0.72')","('transgendered', '0.71')"
11,"('delicate', '0.85')","('sunny', '0.73')","('unusually', '0.72')","('queer', '0.70')"
12,"('beauties', '0.85')","('lovely', '0.72')","('attractive', '0.72')","('antigay', '0.68')"
13,"('smell', '0.85')","('genial', '0.72')","('bright', '0.71')","('heterosexual', '0.68')"
14,"('goodly', '0.85')","('rustic', '0.71')","('women_', '0.71')","('Gay', '0.67')"
15,"('youthful', '0.84')","('pensive', '0.71')","('countryfolk', '0.71')","('homosexuality', '0.66')"
16,"('fat', '0.84')","('luxurious', '0.71')","('jovial', '0.71')","('homophobic', '0.66')"
17,"('manly', '0.84')","('dance', '0.71')","('lively', '0.70')","('sexual_orientation', '0.65')"
18,"('gaudy', '0.84')","('blithe', '0.70')","('solemn', '0.70')","('openly_homosexual', '0.64')"
19,"('charming', '0.84')","('pleasant', '0.70')","('danced', '0.70')","('Gays', '0.64')"
20,"('soft', '0.84')","('revel', '0.69')","('sleepy', '0.70')","('bisexual', '0.63')"
21,"('sweetest', '0.84')","('comely', '0.68')","('strangely', '0.70')","('homophobia', '0.63')"
22,"('low', '0.84')","('danced', '0.68')","('effronteries', '0.70')","('gays_lesbians', '0.62')"
23,"('fashion', '0.83')","('stately', '0.68')","('sober', '0.70')","('Gays_lesbians', '0.62')"
24,"('beauteous', '0.83')","('maidens', '0.68')","('dreamy', '0.70')","('gay_marriage', '0.61')"
25,"('lean', '0.83')","('courtly', '0.68')","('gayer', '0.70')","('transsexual', '0.61')"
26,"('nunsmirched', '0.82')","('light_hearted', '0.68')","('regular_gay', '0.70')","('LGBTQ', '0.61')"
27,"('fed', '0.82')","('noisy', '0.67')","('animated', '0.69')","('queers', '0.61')"
28,"('fancies', '0.82')","('graceful', '0.67')","('admiring', '0.69')","('GLBTQ', '0.61')"
29,"('cheeks', '0.82')","('buoyant', '0.67')","('delightfully', '0.69')","('trans_gendered', '0.61')"
30,"('hair', '0.82')","('mirthful', '0.67')","('colourless', '0.69')","('homos', '0.60')"
31,"('monstrous', '0.82')","('smiles', '0.67')","('sweet', '0.69')","('closeted_gay', '0.60')"
32,"('lustre', '0.82')","('glee', '0.67')","('well_dressed', '0.69')","('transgendered_GLBT', '0.59')"
33,"('music', '0.82')","('green', '0.67')","('wistful', '0.69')","('GLBTs', '0.59')"
34,"('sweetness', '0.82')","('beaming', '0.67')","('joyous', '0.68')","('gay_bashing', '0.59')"
35,"('grows', '0.82')","('gaudy', '0.66')","('gloomy', '0.68')","('bi_sexuals', '0.59')"
36,"('black', '0.82')","('nloires', '0.66')","('girlish', '0.68')","('LGBTs', '0.59')"
37,"('swain', '0.82')","('verdure', '0.66')","('jolly', '0.68')","('Homosexual', '0.58')"
38,"('painted', '0.81')","('sickly', '0.66')","('flirtyfying', '0.67')","('LBGT', '0.58')"
39,"('smooth', '0.81')","('radiant', '0.66')","('celestially', '0.67')","('heterosexuals', '0.58')"
40,"('clean', '0.81')","('song_birds', '0.66')","('quiet', '0.67')","('hetro', '0.58')"
41,"('giddy', '0.81')","('blooming_girl', '0.66')","('remarkably', '0.67')","('gay_bisexual_transgendered', '0.58')"
42,"('loose', '0.81')","('hausfrau', '0.66')","('thoughtful', '0.67')","('transgender_transsexual', '0.58')"
43,"('woods_groves', '0.81')","('brightened', '0.65')","('blue_eyes', '0.67')","('Lesbian', '0.57')"
44,"('bud', '0.81')","('charmed', '0.65')","('quaint', '0.67')","('gay_bisexual', '0.57')"
45,"('precious', '0.81')","('gaily', '0.65')","('sang', '0.66')","('bisexual_transgender', '0.57')"
46,"('careless', '0.81')","('mirth', '0.65')","('soft', '0.66')","('gay_lesbian_bisexual', '0.57')"
47,"('finest', '0.81')","('charming', '0.65')","('blonde', '0.66')","('gay_couples', '0.57')"
48,"('beauty', '0.81')","('convivial', '0.65')","('contented', '0.66')","('homo', '0.57')"
49,"('wither', '0.81')","('shy', '0.65')","('familiar', '0.66')","('homophobes', '0.57')"
