,17c,19c,20c,21c
0,"('effeminate', '0.93')","('pretty', '0.78')","('jolly', '0.84')","('good', '0.68')"
1,"('lavish', '0.93')","('stuff', '0.74')","('smart', '0.82')","('lovely', '0.67')"
2,"('fickle', '0.93')","('fine', '0.73')","('funny', '0.80')","('neat', '0.66')"
3,"('inconstant', '0.92')","('comfortable', '0.72')","('pretty', '0.76')","('fantastic', '0.66')"
4,"('nauseous', '0.92')","('queer', '0.71')","('nasty', '0.74')","('wonderful', '0.66')"
5,"('painful', '0.91')","('funny', '0.71')","('ninglehart', '0.72')","('terrific', '0.66')"
6,"('vicious', '0.91')","('tidy', '0.71')","('clever', '0.71')","('great', '0.65')"
7,"('tainted', '0.91')","('plenty', '0.71')","('silly', '0.70')","('awesome', '0.64')"
8,"('froward', '0.91')","('odd', '0.70')","('anyway', '0.70')","('nicer', '0.63')"
9,"('sloth', '0.91')","('likes', '0.70')","('bad', '0.69')","('decent', '0.60')"
10,"('oppresses', '0.91')","('clean', '0.70')","('decent', '0.69')","('fabulous', '0.59')"
11,"('womankind', '0.91')","('artifice_', '0.70')","('horrid', '0.69')","('really', '0.58')"
12,"('prone', '0.91')","('ugly', '0.68')","('queer', '0.68')","('amazing', '0.57')"
13,"('partial', '0.90')","('cooking', '0.68')","('first_rate', '0.68')","('pleasant', '0.57')"
14,"('frailty', '0.90')","('neat', '0.68')","('lazy', '0.68')","('heck', '0.56')"
15,"('unhandsome', '0.90')","('jolly', '0.68')","('plenty', '0.68')","('classy', '0.56')"
16,"('possessing', '0.90')","('nice_little', '0.68')","('much_better', '0.68')","('happy', '0.56')"
17,"('stupid', '0.90')","('liked', '0.68')","('lovely', '0.67')","('liked', '0.56')"
18,"('somwhat', '0.90')","('smart', '0.68')","('bigger', '0.67')","('fun', '0.55')"
19,"('perverse', '0.90')","('prettiest', '0.68')","('maybe', '0.67')","('marvelous', '0.55')"
