,17c,19c,20c,21c
0,"('handsome', '0.91')","('nice', '0.78')","('smart', '0.82')","('pretty_darn', '0.82')"
1,"('fine', '0.89')","('prettiest', '0.75')","('wonderfully', '0.78')","('very', '0.76')"
2,"('pleasant', '0.88')","('handsome', '0.75')","('nice', '0.76')","('awfully', '0.75')"
3,"('merry', '0.81')","('charming', '0.75')","('jolly', '0.75')","('quite', '0.75')"
4,"('finely', '0.81')","('ugly', '0.74')","('remarkably', '0.74')","('fairly', '0.73')"
5,"('mightily_pleased', '0.80')","('doll', '0.71')","('handsome', '0.73')","('pretty_darned', '0.72')"
6,"('dress', '0.80')","('fine', '0.70')","('attractive', '0.72')","('unbelievably', '0.71')"
7,"('gallant', '0.79')","('smart', '0.68')","('dresses', '0.72')","('really', '0.70')"
8,"('dressed', '0.79')","('genteel', '0.68')","('curlin', '0.71')","('incredibly', '0.69')"
9,"('dancing_singing', '0.79')","('spoiled', '0.68')","('clever', '0.71')","('Pretty', '0.67')"
10,"('handsom', '0.79')","('old_fashioned', '0.67')","('wearing', '0.71')","('pretty_dang', '0.67')"
11,"('musique', '0.78')","('prettier', '0.67')","('dressed', '0.69')","('kinda', '0.63')"
12,"('mighty_pretty', '0.77')","('dainty', '0.66')","('funny', '0.69')","('pretty_doggone', '0.63')"
13,"('excellent', '0.77')","('beautiful', '0.66')","('good_natured', '0.69')","('so', '0.63')"
14,"('badnesse', '0.77')","('funny', '0.66')","('well_dressed', '0.68')","('extremely', '0.62')"
15,"('girl', '0.77')","('neat', '0.66')","('suit', '0.68')","('amazingly', '0.62')"
16,"('never_saw', '0.77')","('stuff', '0.66')","('queer', '0.67')","('Pretty_darn', '0.62')"
17,"('well_dressed', '0.77')","('little_girl', '0.66')","('charming', '0.67')","('too', '0.61')"
18,"('silly', '0.77')","('queer', '0.66')","('beautifully', '0.66')","('exceedingly', '0.60')"
19,"('crazy', '0.77')","('daisy', '0.66')","('fine', '0.66')","('prety', '0.60')"
