,17c,19c,20c,21c
0,citron,moonlight,dusk,twilights
1,meadows,sunset,sunshine,sunset
2,shrill,mists,sunset,twighlight
3,fresh_dews,shadows,sunlight,dusk
4,lilies,dusk,moonlight,gloaming
5,flowery,sunlight,dawn,lengthening_shadows
6,shady,clouds,autumnal,twilight_zone
7,caverns,setting_sun,mist,moonlight
8,rushes,mist,clouds,darkness
9,sable,dawn,autumn,dusks
10,rang,horizon,breeze,shadows_lengthen
11,drooping,dim,sunrise,misty
12,fierie,sky,moon,halcyon
13,buds,starlight,daylight,shadows
14,russet,sunshine,sky,dawn
15,oaks,fog,sunny,gibbous_moon
16,turf,daylight,haze,til_dusk
17,reeds,glimmer,skies,zenith
18,misty,haze,cloud,starlit
19,swans,sun_set,shadows,dotage
20,rills,moon,sun,daylight
21,forrest,gloom,gloom,starless_sky
22,glimmering,sunny,blaze,pleasantest_hour
23,glowing,beams,ghostly,Whiling_away
24,lxxiii,shade,midsummer,twilit
25,involv,breeze,stars,sunrise
26,blood_stained,dreary,cloudy,foggy_haze
27,nscouring,misty,glare,sun
28,brandished,skies,horizon,waning_gibbous_moon
29,juniper,midnight,morning_sun,daylight_fades
30,cynthia,rays,fog,Perseid_meteor_showers
31,ravens,deepening,glimmer,atop_stepladder
32,echoing,fresh_breeze,stillness,waxing_gibbous_moon
33,haired,glimmering,bathed,fading
34,purling,darkness,dim,starry_nights
35,pinks,autumnal,blur,sunny_afternoons
36,blossom,cloudless,fragrance,amber_tinted
37,willow,noon,overhead,drear
38,violet,rising_sun,street_lamps,autumnal
39,tuft,vapour,basks,dusk_til
40,ev_ning,landscape,lights,Perseid_shower
41,rocking,cloud,mists,Winter_solstice
42,starr,blaze,rain,waxing_moon
43,bowrs,night_breeze,meadow,dreamless_sleep
44,nest,fountain,early_morning,sky
45,flow_rs,dismal,brightness,shimmering_mirage
46,tails,waned,misty,mistiness
47,hues,stillness,rays,presentiment
48,lantskip,darkening,blackness,MyBlogLog_Yahoo
49,blowing,snow,snow,moonlit
