,17c,19c,20c,21c
0,"('duskie', '0.97')","('sunset', '0.91')","('dusk', '0.96')","('twilights', '0.57')"
1,"('meadows', '0.97')","('moonlight', '0.91')","('sunshine', '0.95')","('sunset', '0.55')"
2,"('flowery', '0.97')","('dusk', '0.89')","('moonlight', '0.94')","('twighlight', '0.54')"
3,"('lark', '0.97')","('mist', '0.89')","('sunset', '0.94')","('dusk', '0.52')"
4,"('misty', '0.97')","('mists', '0.89')","('sunlight', '0.92')","('gloaming', '0.50')"
5,"('swans', '0.97')","('shadows', '0.89')","('dawn', '0.91')","('lengthening_shadows', '0.49')"
6,"('sun_beams', '0.97')","('sunlight', '0.89')","('autumnal', '0.91')","('twilight_zone', '0.49')"
7,"('dusky', '0.96')","('dawn', '0.87')","('autumn', '0.90')","('moonlight', '0.48')"
8,"('saffron', '0.96')","('horizon', '0.87')","('moon', '0.89')","('darkness', '0.48')"
9,"('sable', '0.96')","('sky', '0.87')","('sunrise', '0.89')","('dusks', '0.48')"
10,"('eevning', '0.96')","('clouds', '0.87')","('mist', '0.88')","('shadows_lengthen', '0.48')"
11,"('purling', '0.96')","('setting_sun', '0.87')","('sky', '0.88')","('misty', '0.48')"
12,"('lawns', '0.96')","('daylight', '0.86')","('skies', '0.88')","('halcyon', '0.47')"
13,"('sounds_seas', '0.96')","('moon', '0.86')","('falling_leaves', '0.88')","('shadows', '0.47')"
14,"('serge', '0.96')","('sunshine', '0.85')","('sunny', '0.88')","('dawn', '0.46')"
15,"('swims', '0.96')","('dim', '0.85')","('shadows', '0.88')","('gibbous_moon', '0.46')"
16,"('morning_dew', '0.96')","('starlight', '0.85')","('slanting_rays', '0.88')","('til_dusk', '0.46')"
17,"('shady', '0.96')","('gloom', '0.85')","('stormy', '0.87')","('zenith', '0.45')"
18,"('drooping', '0.96')","('haze', '0.85')","('daylight', '0.87')","('starlit', '0.45')"
19,"('grots', '0.96')","('stillness', '0.85')","('clouds', '0.87')","('dotage', '0.44')"
